Muestra,VRI,VRD,SP,SP-His,SP+His
0,157,136,300,200,400
1,523,492,300,200,400
2,146,136,300,200,400
3,544,481,300,200,400
4,146,136,300,200,400
5,544,492,300,200,400
6,146,136,300,200,400
7,513,481,300,200,400
8,136,136,300,200,400
9,534,492,300,200,400
10,136,146,300,200,400
11,534,492,300,200,400
12,136,136,300,200,400
13,534,492,300,200,400
14,146,136,300,200,400
15,523,502,300,200,400
16,146,136,300,200,400
17,523,492,300,200,400
18,136,157,300,200,400
19,534,492,300,200,400
20,146,136,300,200,400
21,544,492,300,200,400
22,146,136,300,200,400
23,534,502,300,200,400
24,146,136,300,200,400
25,534,492,300,200,400
26,136,136,300,200,400
27,534,481,300,200,400
28,136,136,300,200,400
29,534,492,300,200,400
30,146,125,300,200,400
31,523,492,300,200,400
32,146,136,300,200,400
33,523,492,300,200,400
34,146,136,300,200,400
35,523,492,300,200,400
36,146,136,300,200,400
37,523,481,300,200,400
38,146,136,300,200,400
39,523,481,300,200,400
40,136,136,300,200,400
41,534,481,300,200,400
42,146,136,300,200,400
43,523,492,300,200,400
44,136,146,300,200,400
45,534,481,300,200,400
46,146,146,300,200,400
47,523,481,300,200,400
48,146,136,300,200,400
49,534,481,300,200,400
50,146,136,300,200,400
51,523,481,300,200,400
52,136,146,300,200,400
53,523,481,300,200,400
54,146,136,300,200,400
55,534,481,300,200,400
56,146,136,300,200,400
57,523,481,300,200,400
58,136,125,300,200,400
59,523,492,300,200,400
60,146,136,300,200,400
61,523,492,300,200,400
62,136,125,300,200,400
63,534,502,300,200,400
64,136,136,300,200,400
65,534,492,300,200,400
66,146,146,300,200,400
67,534,502,300,200,400
68,146,146,300,200,400
69,523,481,300,200,400
70,146,136,300,200,400
71,513,492,300,200,400
72,146,136,300,200,400
73,523,492,300,200,400
74,146,136,300,200,400
75,523,492,300,200,400
76,136,136,300,200,400
77,534,492,300,200,400
78,146,136,300,200,400
79,534,492,300,200,400
80,146,136,300,200,400
81,513,471,300,200,400
82,136,136,300,200,400
83,523,492,300,200,400
84,136,136,300,200,400
85,513,492,300,200,400
86,136,136,300,200,400
87,523,492,300,200,400
88,136,136,300,200,400
89,513,492,300,200,400
90,136,136,300,200,400
91,523,492,300,200,400
92,136,136,300,200,400
93,513,481,300,200,400
94,136,136,300,200,400
95,513,471,300,200,400
96,136,125,300,200,400
97,523,481,300,200,400
98,136,178,300,200,400
99,523,471,300,200,400
100,136,136,300,200,400
101,534,481,300,200,400
102,136,136,300,200,400
103,523,481,300,200,400
104,146,136,300,200,400
105,534,481,300,200,400
106,136,136,300,200,400
107,534,481,300,200,400
108,146,125,300,200,400
109,523,481,300,200,400
110,136,136,300,200,400
111,534,471,300,200,400
112,157,136,300,200,400
113,534,481,300,200,400
114,146,125,300,200,400
