Muestra,VRI,VRD,SP,SP-His,SP+His
0,0,0,0,200,400
1,0,0,0,200,400
2,0,0,0,200,400
3,0,0,0,200,400
4,0,0,0,200,400
5,0,0,0,200,400
6,0,0,0,200,400
7,0,0,0,200,400
8,0,0,0,200,400
9,0,0,0,200,400
10,0,0,0,200,400
11,0,0,0,200,400
12,0,0,0,200,400
13,0,0,0,200,400
14,0,0,0,200,400
15,0,0,0,200,400
16,0,0,0,200,400
17,0,0,0,200,400
18,0,0,0,200,400
19,0,0,0,200,400
20,0,0,0,200,400
21,0,0,0,200,400
22,0,0,0,200,400
23,0,0,0,200,400
24,0,0,0,200,400
25,0,0,0,200,400
26,0,0,0,200,400
27,0,0,0,200,400
28,0,0,0,200,400
29,0,0,0,200,400
30,0,0,0,200,400
31,0,0,0,200,400
32,0,0,0,200,400
33,0,0,0,200,400
34,0,0,0,200,400
35,0,0,0,200,400
36,0,0,0,200,400
37,0,0,0,200,400
38,0,0,0,200,400
39,0,0,0,200,400
40,0,0,0,200,400
41,0,0,0,200,400
42,0,0,0,200,400
43,0,0,0,200,400
44,0,0,0,200,400
45,0,0,0,200,400
46,0,0,0,200,400
47,0,0,0,200,400
48,0,0,0,200,400
49,0,0,0,200,400
50,157,136,300,200,400
51,523,492,300,200,400
52,146,136,300,200,400
53,544,481,300,200,400
54,146,136,300,200,400
55,544,492,300,200,400
56,146,136,300,200,400
57,513,481,300,200,400
58,136,136,300,200,400
59,534,492,300,200,400
60,136,146,300,200,400
61,534,492,300,200,400
62,136,136,300,200,400
63,534,492,300,200,400
64,146,136,300,200,400
65,523,502,300,200,400
66,146,136,300,200,400
67,523,492,300,200,400
68,136,157,300,200,400
69,534,492,300,200,400
70,146,136,300,200,400
71,544,492,300,200,400
72,146,136,300,200,400
73,534,502,300,200,400
74,146,136,300,200,400
75,534,492,300,200,400
76,136,136,300,200,400
77,534,481,300,200,400
78,136,136,300,200,400
79,534,492,300,200,400
80,146,125,300,200,400
81,523,492,300,200,400
82,146,136,300,200,400
83,523,492,300,200,400
84,146,136,300,200,400
85,523,492,300,200,400
86,146,136,300,200,400
87,523,481,300,200,400
88,146,136,300,200,400
89,523,481,300,200,400
90,136,136,300,200,400
91,534,481,300,200,400
92,146,136,300,200,400
93,523,492,300,200,400
94,136,146,300,200,400
95,534,481,300,200,400
96,146,146,300,200,400
97,523,481,300,200,400
98,146,136,300,200,400
99,534,481,300,200,400
100,146,136,300,200,400
101,523,481,300,200,400
102,136,146,300,200,400
103,523,481,300,200,400
104,146,136,300,200,400
105,534,481,300,200,400
106,146,136,300,200,400
107,523,481,300,200,400
108,136,125,300,200,400
109,523,492,300,200,400
110,146,136,300,200,400
111,523,492,300,200,400
112,136,125,300,200,400
113,534,502,300,200,400
114,136,136,300,200,400
115,534,492,300,200,400
116,146,146,300,200,400
117,534,502,300,200,400
118,146,146,300,200,400
119,523,481,300,200,400
120,146,136,300,200,400
121,513,492,300,200,400
122,146,136,300,200,400
123,523,492,300,200,400
124,146,136,300,200,400
125,523,492,300,200,400
126,136,136,300,200,400
127,534,492,300,200,400
128,146,136,300,200,400
129,534,492,300,200,400
130,146,136,300,200,400
131,513,471,300,200,400
132,136,136,300,200,400
133,523,492,300,200,400
134,136,136,300,200,400
135,513,492,300,200,400
136,136,136,300,200,400
137,523,492,300,200,400
138,136,136,300,200,400
139,513,492,300,200,400
140,136,136,300,200,400
141,523,492,300,200,400
142,136,136,300,200,400
143,513,481,300,200,400
144,136,136,300,200,400
145,513,471,300,200,400
146,136,125,300,200,400
147,523,481,300,200,400
148,136,178,300,200,400
149,523,471,300,200,400
150,136,136,300,200,400
151,534,481,300,200,400
152,136,136,300,200,400
153,523,481,300,200,400
154,146,136,300,200,400
155,534,481,300,200,400
156,136,136,300,200,400
157,534,481,300,200,400
158,146,125,300,200,400
159,523,481,300,200,400
160,136,136,300,200,400
161,534,471,300,200,400
162,157,136,300,200,400
163,534,481,300,200,400
164,146,125,300,200,400
